oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
8376893,57.99505917034708,24.66792362881667,"2MASS J03515881+2440046",7.267,18.284342510190005,18.005,-44.887
676420,58.00943362893,24.36334621602,"2MASS J03520225+2421481",6.6137,7.96947,25.057,-46.822
676581,58.06248310760001,24.339931188359998,"2MASS J03521499+2420237",5.7008,23.75,31.823,-20.652
676177,58.093766424669994,23.644877938050005,"2MASS J03522250+2338416",7.8423,6.18459,20.351,-48.342
8417901,58.11829188271,25.333976753379996,"2MASS J03522838+2520024",0.0189,119667.95200602178,0.134,0.021
21411505,58.141986102287504,24.65413894305389,"2MASS J03523407+2439148",0.6618,-16.42,3.857,-7.397
17844211,58.150161963671245,24.823968913854443,"2MASS J03523603+2449263",0.4465,-39.8111,3.022,-3.412
674908,58.17710519165999,25.11748011396,"2MASS J03524249+2507029",4.1036,35.924301,26.626,-38.243
674907,58.188965417169996,25.27986019432,"2MASS J03524534+2516475",7.224,6.22272,19.495,-45.065
17844215,58.19108289919625,24.51660932710167,"2MASS J03524585+2430598",0.4204,-58.51,1.542,-7.68
676270,58.20552800162,24.09351120705,"2MASS J03524932+2405366",0.2329,68.03,0.706,-1.636
676149,58.29231205873501,23.05299765310083,"2MASS J03531015+2303109",7.3394,6.747,19.737,-46.536
17411618,58.302376068190846,24.512580433278885,"2MASS J03531256+2430452",0.8168,-46.608799,26.209,-30.29
676836,58.34001264959999,23.98172295858,"2MASS J03532159+2358542",6.5762,40.760799,53.855,-60.34
676837,58.353436519929176,23.404165385729716,"2MASS J03532482+2324151",7.5394,6.60201,20.973,-46.791
17411620,58.38383462541125,24.921789990134723,"2MASS J03533211+2455184",0.3113,-19.233101,-1.387,-5.353
21411508,58.38525139512126,25.062858637066668,"2MASS J03533245+2503463",1.1931,24.347,16.88,-2.381
21411509,58.414960141454166,24.349874316194725,"2MASS J03533958+2420595",0.5852,20.73,3.863,-2.617
16487416,58.432655498079995,24.224668077839997,"2MASS J03534382+2413287",5.1923,-14.556,3.749,-44.479
16487417,58.586077328570006,23.82147015719,"2MASS J03542065+2349174",3.3403,-5.79211,21.299,-30.701
676594,58.58843099937,23.3969331461,"2MASS J03542122+2323491",6.6719,-38.196602,15.911,-18.204
