HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,B-V,e_B-V,V-I,hip2_oid,ic,UW,Testing
20756,5,0,1,1.1643612424,0.5,0.2972079278,0.31,5.77,0.54,27.57,0.73,-51.67,0.49,72,-0.4,0,0.0,6.9692,0.0013,0.01,0,1.494,0.015,1.52,20703,0,"2.16,-1.44,3.30,-0.06,-0.31,1.87,0.25,0.13,0.14,1.36,0.03,-0.73,0.51,-0.45,1.94",false
20810,5,0,1,1.1673559739,2.38,0.2681770769,1.41,7.55,2.59,85.13,3.01,-24.61,2.2,89,1.14,1,0.0,11.2241,0.0035,0.034,0,0.808,0.002,0.85,20757,0,"0.52,-0.32,0.85,-0.12,-0.09,0.43,-0.05,0.04,-0.02,0.37,0.10,-0.23,0.11,-0.13,0.49",false
20815,5,0,1,1.1676127216,0.8,0.2720837285,0.49,21.26,0.85,102.94,1.06,-24.47,0.76,83,1.73,0,0.0,7.5281,0.0015,0.011,0,0.537,0.015,0.6,20762,0,"1.60,-0.96,2.60,-0.32,-0.25,1.36,-0.20,0.10,-0.01,1.09,0.28,-0.76,0.30,-0.27,1.49",true
20827,5,0,1,1.1684233771,1.65,0.2516380293,0.8,19.0,1.92,102.21,1.86,-19.95,1.41,91,-1.26,1,0.0,9.6272,0.0017,0.018,0,0.929,0.005,0.97,20774,0,"0.72,-0.76,1.40,-0.16,-0.21,0.53,-0.23,0.06,0.08,0.52,0.37,-0.53,0.29,-0.24,0.64",true
20850,5,0,1,1.1696885339,1.46,0.2420419962,0.71,21.86,1.71,106.72,1.84,-17.78,1.27,91,1.98,1,0.0,9.1735,0.0015,0.014,0,0.839,0.007,0.88,20797,0,"0.95,-0.77,1.83,-0.15,-0.16,0.79,-0.22,0.12,0.05,0.63,0.41,-0.52,0.55,-0.07,0.91",true
20873,1,2,1,1.1710676807,1.36,0.2572794416,0.81,17.38,1.5,109.5,1.75,-20.49,1.26,86,0.42,0,5.1,5.9812,6.0E-4,0.005,0,0.325,0.013,0.39,20820,0,"0.83,-0.55,1.40,-0.11,0.00,0.72,-0.12,0.05,0.01,0.62,0.17,-0.40,0.26,-0.26,0.81",true
20877,5,0,1,1.1712879322,0.35,0.2855293902,0.2,17.46,0.42,7.91,0.59,18.15,0.34,69,1.2,1,0.0,5.1264,6.0E-4,0.005,0,1.137,0.002,1.12,20824,0,"3.44,-1.46,6.06,-0.74,0.07,3.04,0.29,0.42,-0.68,1.88,0.63,-0.87,1.32,0.46,3.28",false
20885,5,0,1,1.1718745898,0.24,0.278593246,0.13,21.13,0.27,104.96,0.35,-15.14,0.21,71,0.32,0,0.0,4.0043,6.0E-4,0.005,0,0.952,0.004,1.02,20832,0,"4.77,-1.72,8.60,-1.76,-0.31,4.06,0.69,0.09,-0.59,2.92,-0.09,-1.70,1.59,0.69,4.85",true
20894,1,0,1,1.1722558423,0.42,0.2770002773,0.23,21.69,0.46,108.41,0.62,-26.74,0.38,73,-0.66,0,1.5,3.4597,0.0015,0.008,0,0.179,0.004,0.21,20841,0,"2.53,-0.90,4.35,-0.89,-0.19,2.16,0.36,0.03,-0.25,1.52,-0.08,-0.81,0.71,0.23,2.48",true
20898,5,0,1,1.1727930203,0.68,0.258649403,0.47,4.43,0.74,-8.1,0.89,0.25,0.64,83,-0.22,1,0.0,8.0514,0.0015,0.012,0,0.295,0.016,0.34,20845,0,"1.57,-0.63,2.33,-0.32,0.14,1.38,-0.29,-0.03,0.19,1.16,0.07,-0.69,0.31,-0.48,1.53",false
20916,15,3,2,1.173713371,0.65,0.2820304403,0.36,20.63,0.79,88.79,1.03,-23.56,0.63,62,-0.39,0,0.0,6.6909,0.0016,0.008,0,0.536,0.011,0.59,20863,0,"1.64,-0.86,3.04,-0.40,-0.18,1.40,-0.05,0.09,-0.33,0.94,0.20,-0.89,0.57,0.29,1.53",false
20952,5,0,1,1.1761032401,0.81,0.2425090729,0.39,7.08,0.9,176.06,1.01,-14.14,0.63,85,0.07,0,0.0,7.861,0.0012,0.012,0,1.216,0.003,1.36,20899,0,"1.44,-0.99,2.71,-0.24,-0.02,1.25,-0.23,0.32,0.18,1.03,0.76,-0.42,0.67,-0.40,1.58",false
20978,5,0,1,1.1779272875,1.25,0.2909971612,0.74,24.48,1.33,105.41,1.51,-28.88,1.05,65,1.65,1,0.0,9.228,0.0027,0.017,0,0.865,0.013,0.91,20925,0,"0.99,-0.23,1.60,-0.29,-0.07,0.88,-0.08,0.09,0.07,0.77,0.16,-0.27,0.17,-0.11,1.09",true
20995,15,3,2,1.1787177638,0.62,0.272932814,0.32,21.85,0.8,107.34,0.82,-24.56,0.58,61,3.18,0,0.0,5.646,6.0E-4,0.004,0,0.324,0.011,0.4,20942,0,"2.47,-1.26,4.37,-0.94,-0.46,1.97,0.16,-0.12,-0.01,1.60,-0.30,-1.13,1.49,0.20,2.25",true
